Husleje (kr./m²) fordelt på område, bygnings opførelsesår og udlejningstype (  2021)
"Område";"-1949";;;"1950-1973";;;"1974-1999";;;"2000+";;
;"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)";"Almene familieboliger";"Private udlejningsboliger (ikke ejerlejligheder)";"Private udlejningsboliger (ejerlejligheder)"
"København";867;1.005;1.206;902;996;1.221;1.022;1.278;1.261;1.135;1.653;1.631
"Frederiksberg";782;942;1.158;823;881;1.026;936;0;1.330;1.153;0;1.453
"Ballerup";917;0;0;855;0;942;1.007;0;0;1.127;0;1.454
"Brøndby";898;0;0;848;0;0;925;0;0;0;0;0
"Dragør";0;0;0;889;0;0;1.111;0;0;0;0;0
"Gentofte";876;1.014;1.068;889;1.022;1.052;1.108;1.106;1.383;1.259;0;0
"Gladsaxe";935;1.064;1.238;851;970;1.100;1.080;0;996;1.159;0;1.496
"Glostrup";669;791;0;780;871;1.005;937;0;0;0;0;1.497
"Herlev";881;0;0;865;0;0;955;0;0;1.042;0;1.483
"Albertslund";815;0;0;911;0;0;1.048;0;0;984;0;0
"Hvidovre";833;980;0;910;0;939;1.021;0;1.279;929;0;0
"Høje-Taastrup";879;1.146;0;855;863;1.093;944;0;1.074;1.141;1.352;1.458
"Lyngby-Taarbæk";966;1.074;1.186;952;1.232;941;1.086;0;1.167;0;1.929;1.588
"Rødovre";926;908;0;888;986;1.180;973;0;1.221;1.096;0;1.566
"Ishøj";0;0;0;787;0;1.205;875;0;0;1.099;0;0
"Tårnby";844;0;0;745;0;943;1.024;0;0;1.089;0;0
"Vallensbæk";0;0;0;806;828;1.031;1.054;0;0;981;0;1.291
"Furesø";980;0;0;887;0;880;992;0;1.205;1.132;0;1.358
"Allerød";0;0;0;863;834;0;1.032;0;1.148;1.086;0;0
"Fredensborg";1.007;0;0;795;0;1.167;952;0;0;1.062;0;1.469
"Helsingør";988;990;1.194;871;1.014;1.098;984;0;1.268;1.135;0;1.369
"Hillerød";937;1.083;1.235;906;1.149;1.195;994;0;1.200;1.094;1.430;1.335
"Hørsholm";905;1.064;0;930;1.000;945;1.098;0;1.331;1.140;0;0
"Rudersdal";912;1.134;0;879;1.005;1.046;1.053;0;1.366;1.178;0;1.458
"Egedal";0;0;0;950;0;0;1.065;0;1.214;1.136;1.307;1.372
"Frederikssund";817;993;1.185;788;0;0;953;0;1.172;1.089;1.387;1.170
"Greve";0;0;0;742;0;0;914;0;1.516;1.150;0;0
"Køge";709;918;1.114;849;0;1.025;1.045;0;1.184;1.076;1.553;1.363
"Halsnæs";797;1.010;0;903;0;0;904;912;0;1.117;0;1.222
"Roskilde";1.021;1.025;1.178;990;945;972;1.129;1.209;1.253;1.170;0;1.473
"Solrød";0;0;0;825;0;0;986;0;0;1.062;0;0
"Gribskov";0;1.038;0;0;0;927;1.003;0;0;1.093;0;1.209
"Odsherred";738;793;0;667;0;0;825;0;939;936;0;0
"Holbæk";859;898;1.008;862;932;1.019;885;0;0;991;912;1.132
"Faxe";718;868;0;810;1.032;0;935;0;0;973;0;0
"Kalundborg";763;785;829;710;939;849;859;0;972;924;0;0
"Ringsted";683;873;1.019;764;0;0;885;0;895;960;0;1.175
