"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"Region";" ";" ";"                            14";"                            19";"                            36";"                            88";"                           193";"                           338";"                           463";"                           629";"                           556";"                           174"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           285";"                           321";"                           302";"                           263";"                           226";"                           227";"                           240";"                           206";"                           240";"                           260"
;"106 Ejendomsskatter";"";"                            65";"                            79";"                            74";"                            70";"                            62";"                            70";"                            63";"                            52";"                            69";"                            68"
;"107 Vandafgift";"";"                            37";"                            43";"                            47";"                            45";"                            42";"                            34";"                            34";"                            14";"                            12";"                            41"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"109 Renovation";"";"                            25";"                            29";"                            27";"                            26";"                            26";"                            29";"                            30";"                            27";"                            23";"                            27"
;"110 Forsikringer";"";"                            18";"                            17";"                            16";"                            16";"                            18";"                            16";"                            17";"                            15";"                            16";"                            17"
;"111 Afdelingens energiforbrug";"";"                            19";"                            21";"                            21";"                            24";"                            25";"                            26";"                            36";"                            36";"                            60";"                            25"
;"112 Bidrag til boligorganisationen";"";"                            57";"                            68";"                            56";"                            55";"                            51";"                            52";"                            61";"                            62";"                            59";"                            56"
;"112.1 Administrationsbidrag";"";"                            55";"                            66";"                            54";"                            53";"                            49";"                            50";"                            58";"                            59";"                            56";"                            54"
;"112.2 Dispositionsfond";"";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            63";"                            64";"                            61";"                            28";"                             1";"                             0";"                             0";"                             0";"                             0";"                            27"
;"119.9 Variable udgifter i alt";"";"                           148";"                           150";"                           160";"                           154";"                           153";"                           152";"                           150";"                           147";"                           128";"                           153"
;"114 Renholdelse";"";"                            83";"                            95";"                            94";"                            92";"                            87";"                            86";"                            96";"                            87";"                            76";"                            91"
;"115 Almindelig vedligeholdelse";"";"                            47";"                            34";"                            39";"                            35";"                            35";"                            35";"                            29";"                            26";"                            42";"                            36"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             1";"                             1";"                             4";"                             1";"                             1";"                             0";"                             1"
;"116.1 Afholdte udgifter";"";"                           120";"                           161";"                           135";"                           142";"                           110";"                           115";"                           111";"                            75";"                            30";"                           125"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -120";"                          -161";"                          -134";"                          -141";"                          -108";"                          -111";"                          -110";"                           -73";"                           -29";"                          -124"
