"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"Region";" ";" ";"                            14";"                            19";"                            37";"                            91";"                           192";"                           342";"                           438";"                           585";"                           164"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           252";"                           274";"                           265";"                           235";"                           199";"                           197";"                           205";"                           173";"                           228"
;"106 Ejendomsskatter";"";"                            53";"                            63";"                            59";"                            58";"                            51";"                            60";"                            51";"                            44";"                            56"
;"107 Vandafgift";"";"                            43";"                            46";"                            49";"                            46";"                            45";"                            34";"                            36";"                            16";"                            43"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            20";"                            24";"                            25";"                            25";"                            25";"                            27";"                            27";"                            25";"                            25"
;"110 Forsikringer";"";"                             9";"                            11";"                            12";"                            12";"                            13";"                            12";"                            12";"                            10";"                            12"
;"111 Afdelingens energiforbrug";"";"                            19";"                            17";"                            19";"                            21";"                            23";"                            22";"                            31";"                            30";"                            22"
;"112 Bidrag til boligorganisationen";"";"                            47";"                            53";"                            44";"                            45";"                            40";"                            42";"                            47";"                            47";"                            44"
;"112.1 Administrationsbidrag";"";"                            44";"                            52";"                            43";"                            43";"                            38";"                            40";"                            45";"                            45";"                            43"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            61";"                            60";"                            56";"                            27";"                             1";"                             0";"                             0";"                             0";"                            26"
;"119.9 Variable udgifter i alt";"";"                           131";"                           137";"                           143";"                           139";"                           141";"                           134";"                           142";"                           148";"                           140"
;"114 Renholdelse";"";"                            73";"                            82";"                            81";"                            79";"                            76";"                            74";"                            81";"                            76";"                            78"
;"115 Almindelig vedligeholdelse";"";"                            42";"                            36";"                            40";"                            37";"                            35";"                            32";"                            30";"                            28";"                            36"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             2";"                             1";"                             1";"                             3";"                             1"
;"116.1 Afholdte udgifter";"";"                           101";"                           133";"                           128";"                           110";"                           108";"                            92";"                            88";"                            65";"                           110"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -101";"                          -132";"                          -128";"                          -110";"                          -106";"                           -91";"                           -87";"                           -62";"                          -109"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             2";"                             1"
;"117.1 Afholdte udgifter";"";"                            19";"                            24";"                            19";"                            15";"                            18";"                            18";"                            16";"                            11";"                            18"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -19";"                           -24";"                           -18";"                           -15";"                           -16";"                           -18";"                           -15";"                            -9";"                           -17"
;"118 Særlige aktiviteter";"";"                            10";"                            11";"                            14";"                            13";"                            16";"                            18";"                            19";"                            29";"                            15"
;"119 Diverse udgifter";"";"                             6";"                             7";"                             7";"                             9";"                            10";"                             8";"                             9";"                            10";"                             9"
;"124.8 Henlæggelser i alt";"";"                           148";"                           168";"                           149";"                           139";"                           163";"                           127";"                           115";"                            84";"                           145"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           119";"                           133";"                           122";"                           112";"                           102";"                            93";"                            90";"                            63";"                           109"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            10";"                            11";"                            11";"                            10";"                            19";"                            12";"                             7";"                            12"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            11";"                            17";"                            10";"                             7";"                             8";"                             4";"                             7";"                             8";"                             9"
;"122.1 Fælleskonto (konto 403)";"";"                             2";"                             5";"                             3";"                             2";"                             2";"                             1";"                             1";"                             2";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             9";"                            12";"                             7";"                             5";"                             6";"                             4";"                             6";"                             7";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             7";"                             8";"                             5";"                             5";"                             7";"                             7";"                             6";"                             5";"                             6"
;"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             1";"                             4";"                            36";"                             4";"                             0";"                             0";"                            10"
;"137 Ekstraordinære udgifter i alt";"";"                           110";"                            96";"                            95";"                           108";"                           128";"                            41";"                            25";"                            33";"                            92"
