"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            11";"                            22";"                            34";"                            80";"                           170";"                           311";"                           383";"                           461";"                           140"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           211";"                           216";"                           209";"                           185";"                           160";"                           171";"                           162";"                           130";"                           183"
"106 Ejendomsskatter";"";"                            36";"                            35";"                            31";"                            31";"                            28";"                            35";"                            27";"                            21";"                            31"
"107 Vandafgift";"";"                            32";"                            32";"                            33";"                            34";"                            33";"                            31";"                            24";"                            10";"                            31"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
"109 Renovation";"";"                            19";"                            21";"                            22";"                            22";"                            22";"                            23";"                            22";"                            21";"                            22"
"110 Forsikringer";"";"                            11";"                            11";"                            11";"                            12";"                            13";"                            12";"                            12";"                            10";"                            12"
"111 Afdelingens energiforbrug";"";"                            17";"                            17";"                            17";"                            21";"                            24";"                            26";"                            30";"                            25";"                            21"
"112 Bidrag til boligorganisationen";"";"                            44";"                            47";"                            42";"                            41";"                            38";"                            44";"                            46";"                            42";"                            42"
"112.1 Administrationsbidrag";"";"                            42";"                            46";"                            40";"                            40";"                            37";"                            42";"                            44";"                            40";"                            40"
"112.2 Dispositionsfond";"";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            51";"                            52";"                            51";"                            24";"                             1";"                             0";"                             0";"                             0";"                            23"
"119.9 Variable udgifter i alt";"";"                           114";"                           118";"                           122";"                           119";"                           118";"                           122";"                           118";"                           108";"                           119"
"114 Renholdelse";"";"                            63";"                            67";"                            68";"                            66";"                            65";"                            66";"                            69";"                            60";"                            66"
"115 Almindelig vedligeholdelse";"";"                            37";"                            35";"                            35";"                            33";"                            34";"                            33";"                            28";"                            25";"                            33"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0"
"116.1 Afholdte udgifter";"";"                            85";"                            96";"                            83";"                            69";"                            72";"                            68";"                            63";"                            31";"                            74"
"116.2 Heraf dækkes af henlæggelser";"";"                           -85";"                           -96";"                           -82";"                           -69";"                           -72";"                           -68";"                           -63";"                           -30";"                           -73"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             2";"                             1";"                             0";"                             1"
"117.1 Afholdte udgifter";"";"                            18";"                            23";"                            20";"                            20";"                            19";"                            18";"                            15";"                             8";"                            19"
"117.2 Heraf dækkes af henlæggelser";"";"                           -18";"                           -21";"                           -20";"                           -19";"                           -17";"                           -17";"                           -14";"                            -7";"                           -18"
"118 Særlige aktiviteter";"";"                             8";"                             9";"                            11";"                            11";"                             9";"                            14";"                            13";"                            14";"                            11"
"119 Diverse udgifter";"";"                             6";"                             6";"                             6";"                             7";"                             8";"                             6";"                             7";"                             8";"                             7"
"124.8 Henlæggelser i alt";"";"                           127";"                           126";"                           125";"                           111";"                           115";"                            97";"                            91";"                            71";"                           113"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           101";"                            98";"                            97";"                            85";"                            78";"                            70";"                            71";"                            52";"                            84"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             9";"                            13";"                            15";"                            15";"                            13";"                            14";"                            11";"                             8";"                            13"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            11";"                            11";"                             7";"                             5";"                             5";"                             4";"                             5";"                             6";"                             6"
"122.1 Fælleskonto (konto 403)";"";"                             2";"                             3";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             2"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             8";"                             5";"                             4";"                             4";"                             3";"                             5";"                             5";"                             5"
