"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            17";"                            26";"                            36";"                            72";"                           169";"                           321";"                           424";"                           573";"                           579";"                           161"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           284";"                           280";"                           268";"                           230";"                           193";"                           221";"                           215";"                           177";"                           166";"                           230"
"106 Ejendomsskatter";"";"                            60";"                            54";"                            50";"                            48";"                            44";"                            59";"                            45";"                            33";"                            33";"                            48"
"107 Vandafgift";"";"                            32";"                            32";"                            36";"                            33";"                            26";"                            28";"                            25";"                            11";"                             4";"                            29"
"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             1";"                             1";"                             0";"                             2";"                             1";"                             0";"                             0";"                             1"
"109 Renovation";"";"                            28";"                            28";"                            25";"                            24";"                            24";"                            27";"                            27";"                            23";"                            22";"                            25"
"110 Forsikringer";"";"                            16";"                            15";"                            15";"                            15";"                            17";"                            16";"                            15";"                            13";"                            13";"                            15"
"111 Afdelingens energiforbrug";"";"                            19";"                            20";"                            20";"                            23";"                            26";"                            30";"                            34";"                            34";"                            31";"                            25"
"112 Bidrag til boligorganisationen";"";"                            67";"                            70";"                            61";"                            59";"                            55";"                            61";"                            68";"                            63";"                            62";"                            61"
"112.1 Administrationsbidrag";"";"                            59";"                            63";"                            56";"                            54";"                            50";"                            55";"                            61";"                            56";"                            56";"                            55"
"112.2 Dispositionsfond";"";"                             4";"                             6";"                             4";"                             5";"                             4";"                             4";"                             6";"                             5";"                             5";"                             5"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            62";"                            62";"                            60";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            27"
"119.9 Variable udgifter i alt";"";"                           137";"                           144";"                           149";"                           146";"                           145";"                           150";"                           147";"                           133";"                           118";"                           145"
"114 Renholdelse";"";"                            90";"                            91";"                            94";"                            88";"                            88";"                            91";"                            95";"                            82";"                            68";"                            89"
