"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            13";"                            18";"                            39";"                            72";"                           175";"                           320";"                           481";"                           675";"                           718";"                           171"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           301";"                           352";"                           310";"                           275";"                           226";"                           259";"                           278";"                           238";"                           230";"                           277"
"106 Ejendomsskatter";"";"                            68";"                            82";"                            67";"                            63";"                            58";"                            87";"                            82";"                            63";"                            70";"                            68"
"107 Vandafgift";"";"                            23";"                            37";"                            40";"                            39";"                            29";"                            25";"                            28";"                            14";"                             5";"                            32"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"109 Renovation";"";"                            36";"                            39";"                            36";"                            34";"                            32";"                            36";"                            37";"                            33";"                            30";"                            35"
"110 Forsikringer";"";"                            19";"                            18";"                            18";"                            16";"                            17";"                            18";"                            18";"                            16";"                            15";"                            17"
"111 Afdelingens energiforbrug";"";"                            21";"                            23";"                            25";"                            28";"                            30";"                            29";"                            39";"                            43";"                            42";"                            29"
"112 Bidrag til boligorganisationen";"";"                            68";"                            80";"                            64";"                            66";"                            60";"                            64";"                            73";"                            70";"                            68";"                            66"
"112.1 Administrationsbidrag";"";"                            61";"                            72";"                            61";"                            62";"                            55";"                            59";"                            66";"                            64";"                            61";"                            61"
"112.2 Dispositionsfond";"";"                             5";"                             7";"                             3";"                             3";"                             4";"                             4";"                             6";"                             5";"                             6";"                             4"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            67";"                            72";"                            61";"                            29";"                             0";"                             0";"                             0";"                             0";"                             0";"                            30"
"119.9 Variable udgifter i alt";"";"                           137";"                           157";"                           162";"                           157";"                           152";"                           150";"                           162";"                           151";"                           136";"                           155"
"114 Renholdelse";"";"                            97";"                           116";"                           109";"                           109";"                           110";"                           104";"                           119";"                            97";"                            85";"                           108"
"115 Almindelig vedligeholdelse";"";"                            15";"                            13";"                            26";"                            18";"                            18";"                            17";"                            12";"                             9";"                            14";"                            18"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             4";"                             2";"                             2";"                             0";"                             2";"                             1";"                             8";"                             2"
"116.1 Afholdte udgifter";"";"                           234";"                           207";"                           225";"                           177";"                           159";"                           176";"                           185";"                           203";"                            92";"                           187"
"116.2 Heraf dækkes af henlæggelser";"";"                          -233";"                          -204";"                          -221";"                          -176";"                          -157";"                          -175";"                          -183";"                          -202";"                           -84";"                          -185"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"117.1 Afholdte udgifter";"";"                            13";"                            19";"                            21";"                            14";"                            13";"                            11";"                            16";"                            16";"                             7";"                            15"
"117.2 Heraf dækkes af henlæggelser";"";"                           -13";"                           -18";"                           -21";"                           -14";"                           -12";"                           -11";"                           -16";"                           -16";"                            -7";"                           -15"
"118 Særlige aktiviteter";"";"                            12";"                            14";"                            15";"                            19";"                            13";"                            19";"                            14";"                            29";"                            15";"                            16"
"119 Diverse udgifter";"";"                            11";"                            12";"                             9";"                            10";"                             9";"                            10";"                            14";"                            15";"                            13";"                            10"
"124.8 Henlæggelser i alt";"";"                           294";"                           336";"                           291";"                           265";"                           266";"                           244";"                           252";"                           220";"                           147";"                           269"
